stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1009O00016C0,,Joaquim Palhares,,-22.913358,-43.209750,,,0,,,,
1010O00047C0,,Monsenhor Manuel Gomes,,-22.890400,-43.218910,,,0,,,,
1010O00079C0,,Figueira de Melo,,-22.904110,-43.216110,,,0,,,,
1010O00080C0,,Gotemburgo,,-22.903410,-43.214490,,,0,,,,
1010O00082C0,,Melo e Souza,,-22.902330,-43.212500,,,0,,,,
1010O00081C0,,Francisco Bicalho,,-22.902025,-43.210979,,,0,,,,
1010O00020C0,,Francisco Eugênio,,-22.906170,-43.210250,,,0,,,,
1010O00046C0,,Parque,,-22.904030,-43.222670,,,0,,,,
1010O00092C0,,Chantecler,,-22.900010,-43.234537,,,0,,,,
1010O00066C0,,Desembargador Frederico Sussekind,,-22.900648,-43.232294,,,0,,,,
1010O00112C9,,Avenida do Exército :: Sentido Centro,,-22.900300,-43.223247,,,0,,,,
1010O00137C0,,Avenida do Exército :: Sentido Tijuca,,-22.900754,-43.223660,,,0,,,,
1010O00064C9,,Desembargador Frederico Sussekind,,-22.900450,-43.232580,,,0,,,,
1010O00067C9,,São Luiz Gonzaga,,-22.900220,-43.230030,,,0,,,,
1007O00053C0,,Condessa Paulo de Frontin,,-22.923960,-43.209830,,,0,,,,
1007O00061C0,,Condessa Paulo de Frontin,,-22.924000,-43.209520,,,0,,,,
1010O00105C0,,Quinta D'Or,,-22.907350,-43.221704,,,0,,,,
1010O00136C0,,Liberdade,,-22.898891,-43.227726,,,0,,,,
1010O00061C0,,Chaves Faria,,-22.899862,-43.226297,,,0,,,,
1010O00059C9,,Pedro Lobianco,,-22.900040,-43.223810,,,0,,,,
1010O00109C0,,Santos Lima,,-22.897982,-43.217549,,,0,,,,
1010O00058C0,,Escobar,,-22.897960,-43.218230,,,0,,,,
1010O00086C0,,Vinte e Cinco de Março,,-22.895850,-43.218930,,,0,,,,
1010O00107C0,,Praça Virgilio de Melo Franco,,-22.904907,-43.218901,,,0,,,,
1010O00083C0,,Figueira de Melo,,-22.903830,-43.216250,,,0,,,,
1010O00096C0,,Estádio Figueira de Melo,,-22.905180,-43.214246,,,0,,,,
1010O00084C0,,Zeferino de Oliveira,,-22.899300,-43.216640,,,0,,,,
1009O00009S9,2AEX,"BRS 1,2,3,4,5,6,I: Sampaio Ferraz",,-22.915640,-43.208080,,,0,,,,
1012O00027C0,,Hospital Central do Exército,,-22.894950,-43.242790,,,0,,,,
1014O00001C0,,Igreja Nossa Senhora das Neves,,-22.916200,-43.191750,,,0,,,,
1014O00015C0,,Escadinhas de Santa Tereza,,-22.916710,-43.181920,,,0,,,,
1010O00055C0,,Campo de São Cristóvão,,-22.899433,-43.222963,,,0,,,,
1014O00010C0,,Riachuelo,,-22.914270,-43.181820,,,0,,,,
1014O00004C0,,Áurea,,-22.920570,-43.189680,,,0,,,,
1014O00002C0,,Costa Bastos,,-22.916980,-43.190620,,,0,,,,
1014O00006C0,,"Joaquim Murtinho, 769",,-22.917220,-43.184490,,,0,,,,
